head,relation,tail
Terraforming Mars,Publishers,Lautapelit.fi
Terraforming Mars,Publishers,MINDOK
Terraforming Mars,Publishers,NeoTroy Games
Terraforming Mars,Publishers,SuperHeated Neurons
Lost Ruins of Arnak,Publishers,Fantasmagoria
Lost Ruins of Arnak,Publishers,Kaissa Chess & Games
Lost Ruins of Arnak,Publishers,Lautapelit.fi
Everdell,Publishers,Fantasmagoria
Everdell,Publishers,Kaissa Chess & Games
Cascadia,Publishers,Fantasmagoria
Blood Rage,Publishers,Fantasmagoria
Caverna: The Cave Farmers,Publishers,Filosofia Éditions
Caverna: The Cave Farmers,Publishers,"Swan Panasia Co., Ltd."
The Castles of Burgundy,Publishers,Giochi Uniti
The Castles of Burgundy,Publishers,Grow Jogos e Brinquedos
Mage Knight Board Game,Publishers,Giochi Uniti
Android: Netrunner,Publishers,Giochi Uniti
Istanbul,Publishers,Grow Jogos e Brinquedos
Istanbul,Publishers,Piatnik
Acquire,Publishers,Grow Jogos e Brinquedos
San Juan (Second Edition),Publishers,Grow Jogos e Brinquedos
San Juan (Second Edition),Publishers,Möbius Games
Twilight Imperium: Fourth Edition,Publishers,Hobby World
Star Wars: Rebellion,Publishers,Hobby World
Star Wars: Rebellion,Publishers,Korea Boardgames
Gaia Project,Publishers,Hobby World
Gaia Project,Publishers,Z-Man Games
GIPF,Publishers,Ísöld ehf.
Othello,Publishers,Ísöld ehf.
Othello,Publishers,Ventura Games
Crossword Pyramids,Publishers,Ísöld ehf.
7 Wonders Duel,Publishers,Kaissa Chess & Games
7 Wonders Duel,Publishers,Lautapelit.fi
7 Wonders Duel,Publishers,Ponva d.o.o.
Ark Nova,Publishers,Korea Boardgames
Ark Nova,Publishers,Lautapelit.fi
Ark Nova,Publishers,MINDOK
Eclipse: Second Dawn for the Galaxy,Publishers,Lautapelit.fi
Lost Cities,Publishers,Midgaard Games
Lost Cities,Publishers,Stupor Mundi
Bohnanza,Publishers,Midgaard Games
Bohnanza,Publishers,Paper Iyagi
Citadels,Publishers,Midgaard Games
Take 5,Publishers,Midgaard Games
Take 5,Publishers,Paper Iyagi
San Juan,Publishers,Möbius Games
No Thanks!,Publishers,Möbius Games
Talisman: Revised 4th Edition,Publishers,Monkey Time
Star Munchkin,Publishers,Monkey Time
Fluxx,Publishers,Monkey Time
Marvel Champions: The Card Game,Publishers,NeoTroy Games
7 Wonders,Publishers,NeoTroy Games
Patchwork,Publishers,NeoTroy Games
Just One,Publishers,Nordic Games ehf
King of Tokyo,Publishers,Nordic Games ehf
Timeline,Publishers,Nordic Games ehf
Bezzerwizzer,Publishers,Nordic Games ehf
Kahuna,Publishers,Paper Iyagi
Balloon Cup,Publishers,Paper Iyagi
The Lord of the Rings: Duel for Middle-earth,Publishers,Ponva d.o.o.
Spot it!,Publishers,Ponva d.o.o.
Underwater Cities,Publishers,Rio Grande Games
Race for the Galaxy,Publishers,Smart Ltd
Targi,Publishers,Stupor Mundi
Azul: Summer Pavilion,Publishers,SuperHeated Neurons
Camel Up (Second Edition),Publishers,SuperHeated Neurons
Orléans,Publishers,"Swan Panasia Co., Ltd."
Cartagena,Publishers,Venice Connection
Pickomino,Publishers,Venice Connection
Carolus Magnus,Publishers,Venice Connection
Clans,Publishers,Venice Connection
Inkognito,Publishers,Venice Connection
Beyond Balderdash,Publishers,Ventura Games
Balderdash,Publishers,Ventura Games
Sequence,Publishers,Ventura Games
Articulate!,Publishers,Ventura Games
Pandemic Legacy: Season 0,Publishers,Z-Man Games
Klaus-Jürgen Wrede,born,Meschede; North Rhine-Westphalia; Germany
Klaus-Jürgen Wrede,born,Arnsberg; North Rhine-Westphalia; Germany
Klaus-Jürgen Wrede,born,Cologne
Klaus-Jürgen Wrede,designer,Carcassonne
Klaus-Jürgen Wrede,helped_create,Carcassonne: Hunters and Gatherers
Klaus-Jürgen Wrede,helped_create,Carcassonne: The City
Klaus-Jürgen Wrede,helped_create,The Downfall of Pompeii
Klaus-Jürgen Wrede,designer,The Ark of the Covenant
Klaus-Jürgen Wrede,designer,Mesopotamia: Cradle of Civilization
Klaus-Jürgen Wrede,designer,Rapa Nui
Klaus-Jürgen Wrede,designer,The Architects of the Colosseum
Klaus-Jürgen Wrede,designer,Bali
Erlangen,Bavaria,Germany
Anne Pätzke,is_from,Berlin; Germany
Anne Pätzke,is_most_well_known_for,the second edition of Carcassonne
Anne Pätzke,had_an_interview_with,Board Game Beaver
Head,Relation,Tail
Chris Quilliams,from,Winnipeg
Chris Quilliams,from,Manitoba
Chris Quilliams,from,Canada
Chris Quilliams,lived,Canada (most of his life)
Chris Quilliams,studied,University of Manitoba
Chris Quilliams,lives,Rigaud
Chris Quilliams,works_for,Plan B games
Thysen,designer,Carcassonne Big Box 2021
Thysen,designer,Carcassonne Base Game (updated version)
board game company,has,sense of humor.
board game company,provides,high quality strategy board games.
board game company,provides,blind accessibility.
sense of humor,belongs_to,board game company.
high quality strategy board games,are_provided_by,board game company.
blind accessibility,is_provided_by,board game company.
999 Games,is,Dutch board game publishing company
999 Games,publishes,Belgium
999 Games,publishes,Netherlands
999 Games,publishes,The Settlers of Catan
999 Games,publishes,El Grande
999 Games,publishes,Carcassonne
999 Games,has_turned_more_towards,family
999 Games,has_turned_more_towards,kids
999 Games,has_turned_more_towards,party games
999 Games,with,Agricola being a popular exception
Microbadge,is,a feature or reward in gaming
Microbadge,type,Swan Panasia Games fan
Buy It,is,a command or action in purchasing games
Astrel Games,is,Best Toy Company (formerly the Astraite Company)
Astrel Games,is_part_of,AST Publishing Group (Russia)
Hit (series),consists_of,Russian localizations of foreign games
FunGame (series),is,Astrel Games
TopGame (series),is,Astrel Games
Hobby Games,was_published_by,Astrel Games
13 Roentgen,was_published_by,Astrel Games
is based in,Timisoara,Romania
Bergsala Enigma,was,leading boardgame and collectible card game distributor
Bergsala Enigma,in,Nordics (Denmark; Sweden; Norway; Finland) and the Netherlands
Bergsala Enigma,acquired_by,Asmodee Group
Enigma Distribution,began_operating_under,original 2004 name
Enigma Distribution,fully_absorbed_by,Asmodee Group
Enigma Distribution,changed_name_to,Asmodee
Fantasmagoria,is_a,young board game publisher and a creative studio
Fantasmagoria,develops,United States
Fantasmagoria,develops,Bulgaria
Fantasmagoria,develops,Germany (partially)
Fantasmagoria,is_located_in,Bulgaria
Fantasmagoria,publishes,games (in Bulgaria)
Giochi Uniti,based_in,Naples (Italy)
Giochi Uniti,creates,board games
Giochi Uniti,has_creativity,board games
Giochi Uniti,has_passion,board games
Giochi Uniti,since,2006
Giochi Uniti,is_well_known,international level
Giochi Uniti,for,Letters From Whitechapel
Giochi Uniti,for,Kingsburg
Giochi Uniti,leads,Italian market
Giochi Uniti,distributes,Catan
Giochi Uniti,distributes,Carcassonne
Giochi Uniti,distributes,Pathfinder
Giochi Uniti,distributes,Dominion
Giochi Uniti,distributes,classics of the board game
Our games,are_designed,different people
Our games,are_designed,same table
Our games,are_designed,to share
Our games,are_designed,unique emotions
Our games,are_designed,moments of fun
Our games,believe,gaming is sharing
 (nonexistent page),does_not_exist, (nonexistent page)
 (nonexistent page),can_be_edited, (nonexistent page)
 (nonexistent page),to_create, (nonexistent page)
You,can,edit this page
You,can,create it
This page,does_not_exist, (nonexistent page)
Korea Boardgames Co.; Ltd.,established,2004
Korea Boardgames Co.; Ltd.,leader,board game publishing and distribution in Korea
Korea Boardgames Co.; Ltd.,extending_to,global market
Korea Boardgames Co.; Ltd.,brings_joy_and_excitement_to,tabletop game fans worldwide
Korea Boardgames Co.; Ltd.,social_media_presence,Instagram
Korea Boardgames Co.; Ltd.,official_YouTube_channel,KR
Korea Boardgames Co.; Ltd.,YouTube_channel_for_publishing,EN
Korea Boardgames Co.; Ltd.,subscribes_to,newsletter (KBG publishing)
Coffee Rush,hit_game,Korea Boardgames Co.; Ltd.
User (user visiting the page),can_edit, (nonexistent page)
Czech Publishing Company,based_in,Prague
Czech Publishing Company,chooses,best games around the World
Czech Publishing Company,publishes,Czech versions
Czech Publishing Company,publishes,Slovak versions
Czech Publishing Company,publishes,Polish versions
MINDOK s.r.o.,located_in,Korunní 104/810; budova G
MINDOK s.r.o.,located_in,Praha 10
MINDOK s.r.o.,is_from,Czech Republic
MINDOK s.r.o.,can_be_contacted_through,Tel.
MINDOK s.r.o.,can_be_contacted_through,E-mail
Mobi Games (company),not_the_same_as,Mobi Games Inc. (company)
Mobi Games (company),type_of,Japanese Games shop and distributor
publisher,manufactured,Bezzerwizzer (game)
Paper Iyagi,was,one of the first companies to distribute modern Euro games in Korea
Paper Iyagi,merged_into,Korea Boardgames
Ponva d.o.o.,located_in,Slovenia
Ponva d.o.o.,driving_principle_is,bringing quality board games to Slovenian; Croatian and Serbian markets.
Swan Panasia Co.; Ltd.,founded,2002
Swan Panasia Co.; Ltd.,headquarters,Taipei City
Swan Panasia Co.; Ltd.,warehouses,New Taipei City; Taiwan
Swan Panasia Co.; Ltd.,owned_by,Yu-Ching Peng & Johannes Goeth
Swan Panasia Co.; Ltd.,employees,over 20 (autumn 2016)
Swan Panasia Co.; Ltd.,game_hosts,innumerable hordes (BG conventions and other BG promo events)
Swan Panasia Titles and Territories,specializes_in,importing / licensing / co-producing and distributing board games and card games
Swan Panasia Titles and Territories,regions,Greater China (China; Hong Kong; Macao; Taiwan)
Swan Panasia Titles and Territories,languages,Chinese (ca. 400 games are listed in our Chinese catalog)
Swan Panasia Titles and Territories,regions,Southeast Asia (Indonesia; Malaysia; Philippines; Singapore; Thailand; Vietnam)
Swan Panasia Titles and Territories,languages,English (partly also local languages)
Venice Connection,founded,1995
Venice Connection,consisted_of,Alex Randolph
Venice Connection,consisted_of,Leo Colovini
Venice Connection,consisted_of,Dario De Toffoli
Venice Connection,won,Premio Gioco dell’Anno
Venice Connection,was_awarded_by,Giampaolo Dossena
Venice Connection,activities_combined_with,studiogiochi
Alex Randolph,died,2004
"- ""This page does not exist.""",is_a,Page (general concept)
"- ""This page does not exist.""",is_a,WikiPage (specific concept)
"- ""This page does not exist.""",is_a,MediaWikiPage (specific concept)
"- ""This page does not exist.""",is_a,WikimediaPage (specific concept)
"- ""This page does not exist.""",is_a,WikimediaWikiPage (specific concept)
"- ""This page does not exist.""",is_a,WikimediaProjectPage (specific concept)
"- ""This page does not exist.""",is_a,WikimediaCommunityPage (specific concept)
"- ""This page does not exist.""",is_a,WikimediaUserPage (specific concept)
"- ""This page does not exist.""",is_a,WikimediaProjectUserPage (specific concept)
"- ""This page does not exist.""",is_a,WikimediaProjectAdministratorPage (specific concept)
"- ""This page does not exist.""",is_a,WikimediaProjectBureaucratPage (specific concept)
"- ""This page does not exist.""",is_a,----------
